 "y",    "x",   "data"
 79.53,244.69,  0.00,
 79.53,247.50,  0.00,
 79.53,250.31,  0.00,
 79.53,253.12,  0.00,
 79.53,255.94,  0.00,
 79.53,258.75,  0.00,
 79.53,261.56,  0.00,
 79.53,264.38,  0.00,
 79.53,267.19,  0.00,
 79.53,270.00,  0.00,
 79.53,272.81,  0.00,
 79.53,275.62,  0.00,
 79.53,278.44,  0.00,
 79.53,281.25,  0.00,
 79.53,284.06,  0.00,
 79.53,286.88,  0.00,
 79.53,289.69,  0.00,
 79.53,292.50,  1.00,
 79.53,295.31,  1.00,
 79.53,298.12,  1.00,
 79.53,300.94,  1.00,
 79.53,303.75,  1.00,
 79.53,306.56,  0.00,
 79.53,309.38,  0.00,
 79.53,312.19,  0.00,
 79.53,315.00,  0.00,
 79.53,317.81,  0.00,
 79.53,320.62,  0.00,
 79.53,323.44,  0.00,
 79.53,326.25,  0.00,
 79.53,329.06,  0.00,
 79.53,331.88,  0.00,
 79.53,334.69,  0.00,
 79.53,337.50,  0.00,
 79.53,340.31,  0.00,
 79.53,343.12,  0.00,
 79.53,345.94,  0.00,
 79.53,348.75,  0.00,
 79.53,351.56,  0.00,
 79.53,354.38,  0.00,
 79.53,357.19,  0.00,
 76.74,  0.00,  0.00,
 76.74,  2.81,  0.00,
 76.74,  5.62,  0.00,
 76.74,  8.44,  0.00,
 76.74, 11.25,  0.00,
 76.74, 14.06,  0.00,
 76.74, 16.88,  0.00,
 76.74, 19.69,  0.00,
 76.74, 22.50,  0.00,
 76.74, 25.31,  0.00,
 76.74, 28.12,  0.00,
 76.74, 30.94,  0.00,
 76.74, 33.75,  0.00,
 76.74, 36.56,  0.00,
 76.74, 39.38,  0.00,
 76.74, 42.19,  0.00,
 76.74, 45.00,  0.00,
 76.74, 47.81,  0.00,
 76.74, 50.62,  0.00,
 76.74, 53.44,  0.00,
 76.74, 56.25,  0.00,
 76.74, 59.06,  0.00,
 76.74, 61.88,  0.00,
 76.74, 64.69,  0.00,
 76.74, 67.50,  0.00,
 76.74, 70.31,  0.00,
 76.74, 73.12,  0.00,
 76.74, 75.94,  0.00,
 76.74, 78.75,  0.00,
 76.74, 81.56,  0.00,
 76.74, 84.38,  0.00,
 76.74, 87.19,  0.00,
 76.74, 90.00,  0.00,
 76.74, 92.81,  0.00,
 76.74, 95.62,  0.00,
 76.74, 98.44,  0.00,
 76.74,101.25,  0.00,
 76.74,104.06,  0.00,
 76.74,106.88,  0.00,
 76.74,109.69,  0.00,
 76.74,112.50,  1.00,
 76.74,115.31,  1.00,
 76.74,118.12,  1.00,
 76.74,120.94,  1.00,
 76.74,123.75,  1.00,
 76.74,126.56,  1.00,
 76.74,129.38,  1.00,
 76.74,132.19,  1.00,
 76.74,135.00,  1.00,
 76.74,137.81,  1.00,
 76.74,140.62,  1.00,
 76.74,143.44,  1.00,
 76.74,146.25,  1.00,
 76.74,149.06,  1.00,
 76.74,151.88,  1.00,
 76.74,154.69,  1.00,
 76.74,157.50,  1.00,
 76.74,160.31,  1.00,
 76.74,163.12,  1.00,
 76.74,165.94,  1.00,
 76.74,168.75,  0.00,
 76.74,171.56,  0.00,
 76.74,174.38,  0.00,
 76.74,177.19,  0.00,
 76.74,180.00,  0.00,
 76.74,182.81,  0.00,
 76.74,185.62,  0.00,
 76.74,188.44,  0.00,
 76.74,191.25,  0.00,
 76.74,194.06,  0.00,
 76.74,196.88,  0.00,
 76.74,199.69,  0.00,
 76.74,202.50,  0.00,
 76.74,205.31,  0.00,
 76.74,208.12,  0.00,
 76.74,210.94,  0.00,
 76.74,213.75,  1.00,
 76.74,216.56,  1.00,
 76.74,219.38,  0.00,
 76.74,222.19,  0.00,
 76.74,225.00,  0.00,
 76.74,227.81,  0.00,
 76.74,230.62,  0.00,
 76.74,233.44,  0.00,
 76.74,236.25,  0.00,
 76.74,239.06,  0.00,
 76.74,241.88,  0.00,
 76.74,244.69,  0.00,
 76.74,247.50,  0.00,
 76.74,250.31,  0.00,
 76.74,253.12,  0.00,
 76.74,255.94,  0.00,
 76.74,258.75,  0.00,
 76.74,261.56,  0.00,
 76.74,264.38,  0.00,
 76.74,267.19,  0.00,
 76.74,270.00,  0.00,
 76.74,272.81,  0.00,
 76.74,275.62,  0.00,
 76.74,278.44,  0.00,
 76.74,281.25,  0.00,
 76.74,284.06,  0.00,
 76.74,286.88,  0.00,
 76.74,289.69,  0.00,
 76.74,292.50,  0.00,
 76.74,295.31,  1.00,
 76.74,298.12,  1.00,
 76.74,300.94,  1.00,
 76.74,303.75,  0.00,
 76.74,306.56,  0.00,
 76.74,309.38,  0.00,
 76.74,312.19,  0.00,
 76.74,315.00,  0.00,
 76.74,317.81,  0.00,
 76.74,320.62,  0.00,
 76.74,323.44,  0.00,
 76.74,326.25,  0.00,
 76.74,329.06,  0.00,
 76.74,331.88,  0.00,
 76.74,334.69,  0.00,
 76.74,337.50,  0.00,
 76.74,340.31,  0.00,
 76.74,343.12,  0.00,
 76.74,345.94,  0.00,
 76.74,348.75,  0.00,
 76.74,351.56,  0.00,
 76.74,354.38,  0.00,
 76.74,357.19,  0.00,
 73.95,  0.00,  0.00,
 73.95,  2.81,  0.00,
 73.95,  5.62,  0.00,
 73.95,  8.44,  0.00,
 73.95, 11.25,  0.00,
 73.95, 14.06,  0.00,
 73.95, 16.88,  0.00,
 73.95, 19.69,  0.00,
 73.95, 22.50,  0.00,
 73.95, 25.31,  0.00,
 73.95, 28.12,  0.00,
 73.95, 30.94,  0.00,
 73.95, 33.75,  0.00,
 73.95, 36.56,  0.00,
 73.95, 39.38,  0.00,
 73.95, 42.19,  0.00,
 73.95, 45.00,  0.00,
 73.95, 47.81,  0.00,
 73.95, 50.62,  0.00,
 73.95, 53.44,  0.00,
 73.95, 56.25,  0.00,
 73.95, 59.06,  0.00,
 73.95, 61.88,  0.00,
 73.95, 64.69,  0.00,
 73.95, 67.50,  0.00,
 73.95, 70.31,  0.00,
 73.95, 73.12,  0.00,
 73.95, 75.94,  0.00,
 73.95, 78.75,  0.00,
 73.95, 81.56,  0.00,
 73.95, 84.38,  0.00,
 73.95, 87.19,  0.00,
 73.95, 90.00,  0.00,
 73.95, 92.81,  0.00,
 73.95, 95.62,  1.00,
 73.95, 98.44,  0.00,
 73.95,101.25,  1.00,
 73.95,104.06,  1.00,
 73.95,106.88,  1.00,
 73.95,109.69,  1.00,
 73.95,112.50,  1.00,
 73.95,115.31,  1.00,
 73.95,118.12,  1.00,
 73.95,120.94,  1.00,
 73.95,123.75,  1.00,
 73.95,126.56,  1.00,
 73.95,129.38,  1.00,
 73.95,132.19,  1.00,
 73.95,135.00,  1.00,
 73.95,137.81,  0.00,
 73.95,140.62,  0.00,
 73.95,143.44,  0.00,
 73.95,146.25,  0.00,
 73.95,149.06,  0.00,
 73.95,151.88,  0.00,
 73.95,154.69,  0.00,
 73.95,157.50,  0.00,
 73.95,160.31,  0.00,
 73.95,163.12,  0.00,
 73.95,165.94,  1.00,
 73.95,168.75,  1.00,
 73.95,171.56,  0.00,
 73.95,174.38,  0.00,
 73.95,177.19,  0.00,
 73.95,180.00,  0.00,
 73.95,182.81,  0.00,
 73.95,185.62,  0.00,
 73.95,188.44,  0.00,
 73.95,191.25,  0.00,
 73.95,194.06,  0.00,
 73.95,196.88,  0.00,
 73.95,199.69,  0.00,
 73.95,202.50,  0.00,
 73.95,205.31,  0.00,
 73.95,208.12,  0.00,
 73.95,210.94,  0.00,
 73.95,213.75,  0.00,
 73.95,216.56,  0.00,
 73.95,219.38,  0.00,
 73.95,222.19,  0.00,
 73.95,225.00,  0.00,
 73.95,227.81,  0.00,
 73.95,230.62,  0.00,
 73.95,233.44,  0.00,
 73.95,236.25,  0.00,
 73.95,239.06,  0.00,
 73.95,241.88,  0.00,
 73.95,244.69,  0.00,
 73.95,247.50,  0.00,
 73.95,250.31,  0.00,
 73.95,253.12,  0.00,
 73.95,255.94,  0.00,
 73.95,258.75,  0.00,
 73.95,261.56,  1.00,
 73.95,264.38,  0.00,
 73.95,267.19,  0.00,
 73.95,270.00,  0.00,
 73.95,272.81,  0.00,
 73.95,275.62,  0.00,
 73.95,278.44,  0.00,
 73.95,281.25,  0.00,
 73.95,284.06,  0.00,
 73.95,286.88,  0.00,
 73.95,289.69,  0.00,
 73.95,292.50,  0.00,
 73.95,295.31,  0.00,
 73.95,298.12,  0.00,
 73.95,300.94,  1.00,
 73.95,303.75,  0.00,
 73.95,306.56,  0.00,
 73.95,309.38,  0.00,
 73.95,312.19,  0.00,
 73.95,315.00,  0.00,
 73.95,317.81,  0.00,
 73.95,320.62,  0.00,
 73.95,323.44,  0.00,
 73.95,326.25,  0.00,
 73.95,329.06,  0.00,
 73.95,331.88,  0.00,
 73.95,334.69,  0.00,
 73.95,337.50,  0.00,
 73.95,340.31,  0.00,
 73.95,343.12,  0.00,
 73.95,345.94,  0.00,
 73.95,348.75,  0.00,
 73.95,351.56,  0.00,
 73.95,354.38,  0.00,
 73.95,357.19,  0.00,
 71.16,  0.00,  0.00,
 71.16,  2.81,  0.00,
 71.16,  5.62,  0.00,
 71.16,  8.44,  0.00,
 71.16, 11.25,  0.00,
 71.16, 14.06,  0.00,
 71.16, 16.88,  0.00,
 71.16, 19.69,  0.00,
 71.16, 22.50,  0.00,
 71.16, 25.31,  0.00,
 71.16, 28.12,  0.00,
 71.16, 30.94,  0.00,
 71.16, 33.75,  0.00,
 71.16, 36.56,  0.00,
 71.16, 39.38,  0.00,
 71.16, 42.19,  0.00,
 71.16, 45.00,  0.00,
 71.16, 47.81,  0.00,
 71.16, 50.62,  0.00,
 71.16, 53.44,  0.00,
 71.16, 56.25,  0.00,
 71.16, 59.06,  0.00,
 71.16, 61.88,  0.00,
 71.16, 64.69,  0.00,
 71.16, 67.50,  0.00,
 71.16, 70.31,  0.00,
 71.16, 73.12,  1.00,
 71.16, 75.94,  1.00,
 71.16, 78.75,  1.00,
 71.16, 81.56,  1.00,
 71.16, 84.38,  1.00,
 71.16, 87.19,  1.00,
 71.16, 90.00,  1.00,
 71.16, 92.81,  1.00,
 71.16, 95.62,  1.00,
 71.16, 98.44,  1.00,
 71.16,101.25,  1.00,
 71.16,104.06,  1.00,
 71.16,106.88,  1.00,
 71.16,109.69,  1.00,
 71.16,112.50,  1.00,
 71.16,115.31,  1.00,
 71.16,118.12,  1.00,
 71.16,120.94,  1.00,
 71.16,123.75,  1.00,
 71.16,126.56,  1.00,
 71.16,129.38,  1.00,
 71.16,132.19,  1.00,
 71.16,135.00,  1.00,
 71.16,137.81,  1.00,
 71.16,140.62,  1.00,
 71.16,143.44,  1.00,
 71.16,146.25,  1.00,
 71.16,149.06,  1.00,
 71.16,151.88,  1.00,
 71.16,154.69,  0.00,
 71.16,157.50,  0.00,
 71.16,160.31,  0.00,
 71.16,163.12,  0.00,
 71.16,165.94,  0.00,
 71.16,168.75,  0.00,
 71.16,171.56,  0.00,
 71.16,174.38,  0.00,
 71.16,177.19,  0.00,
 71.16,180.00,  0.00,
 71.16,182.81,  0.00,
 71.16,185.62,  0.00,
 71.16,188.44,  0.00,
 71.16,191.25,  0.00,
 71.16,194.06,  0.00,
 71.16,196.88,  0.00,
 71.16,199.69,  0.00,
 71.16,202.50,  0.00,
 71.16,205.31,  0.00,
 71.16,208.12,  0.00,
 71.16,210.94,  0.00,
 71.16,213.75,  0.00,
 71.16,216.56,  0.00,
 71.16,219.38,  0.00,
 71.16,222.19,  0.00,
 71.16,225.00,  0.00,
 71.16,227.81,  0.00,
 71.16,230.62,  0.00,
 71.16,233.44,  0.00,
 71.16,236.25,  0.00,
 71.16,239.06,  0.00,
 71.16,241.88,  0.00,
 71.16,244.69,  0.00,
 71.16,247.50,  0.00,
 71.16,250.31,  0.00,
 71.16,253.12,  0.00,
 71.16,255.94,  0.00,
 71.16,258.75,  1.00,
 71.16,261.56,  1.00,
 71.16,264.38,  0.00,
 71.16,267.19,  0.00,
 71.16,270.00,  0.00,
 71.16,272.81,  0.00,
 71.16,275.62,  0.00,
 71.16,278.44,  0.00,
 71.16,281.25,  0.00,
 71.16,284.06,  0.00,
 71.16,286.88,  0.00,
 71.16,289.69,  0.00,
 71.16,292.50,  0.00,
 71.16,295.31,  0.00,
 71.16,298.12,  0.00,
 71.16,300.94,  0.00,
 71.16,303.75,  0.00,
 71.16,306.56,  0.00,
 71.16,309.38,  0.00,
 71.16,312.19,  0.00,
 71.16,315.00,  0.00,
 71.16,317.81,  0.00,
 71.16,320.62,  0.00,
 71.16,323.44,  0.00,
 71.16,326.25,  0.00,
 71.16,329.06,  0.00,
 71.16,331.88,  0.00,
 71.16,334.69,  0.00,
 71.16,337.50,  1.00,
 71.16,340.31,  0.00,
 71.16,343.12,  0.00,
 71.16,345.94,  0.00,
 71.16,348.75,  0.00,
 71.16,351.56,  0.00,
 71.16,354.38,  0.00,
 71.16,357.19,  0.00,
 68.37,  0.00,  0.00,
 68.37,  2.81,  1.00,
 68.37,  5.62,  1.00,
 68.37,  8.44,  0.00,
 68.37, 11.25,  0.00,
 68.37, 14.06,  0.00,
 68.37, 16.88,  0.00,
 68.37, 19.69,  0.00,
 68.37, 22.50,  0.00,
 68.37, 25.31,  1.00,
 68.37, 28.12,  0.00,
 68.37, 30.94,  1.00,
 68.37, 33.75,  1.00,
 68.37, 36.56,  1.00,
 68.37, 39.38,  1.00,
